,precision,recall,f1-score,support
0,0.10714285714285714,0.004480955937266617,0.008602150537634409,1339.0
1,0.1630971993410214,0.05524553571428571,0.08253438932888704,1792.0
2,0.35608970387808203,0.6287464449792168,0.4546748932130992,4571.0
3,0.27800201816347125,0.3039161610590182,0.2903820816864295,3626.0
4,0.13953488372093023,0.01892744479495268,0.03333333333333333,1585.0
accuracy,0.31836134128397736,0.31836134128397736,0.31836134128397736,0.31836134128397736
macro avg,0.20877333244927243,0.202263308496948,0.1739053696198767,12913.0
weighted avg,0.25498479144416714,0.31836134128397736,0.2589249286496292,12913.0
