,precision,recall,f1-score,support
0,0.09649122807017543,0.005478087649402391,0.010367577756833179,2008.0
1,0.34960159362549803,0.13058035714285715,0.19014084507042256,2688.0
2,0.36323591698432867,0.6253463613825287,0.45954345729289464,6857.0
3,0.30343264248704666,0.34448529411764706,0.3226584022038568,5440.0
4,0.1814814814814815,0.020622895622895623,0.037037037037037035,2376.0
accuracy,0.33935670401156487,0.33935670401156487,0.33935670401156487,0.33935670401156487
macro avg,0.25884857252970606,0.22530259918306617,0.20394946387220886,19369.0
weighted avg,0.29459784849611886,0.33935670401156487,0.28531508504989295,19369.0
