,precision,recall,f1-score,support
0,0.0,0.0,0.0,372.0
1,0.4166666666666667,0.2957486136783734,0.34594594594594597,541.0
2,0.3809861653068464,0.7721063982746226,0.5102137767220902,1391.0
3,0.35074626865671643,0.21520146520146521,0.2667423382519864,1092.0
4,0.0,0.0,0.0,478.0
accuracy,0.37919463087248323,0.37919463087248323,0.37919463087248323,0.37919463087248323
macro avg,0.22967982012604587,0.25661129543089223,0.22458041218400454,3874.0
weighted avg,0.2938521806870481,0.37919463087248323,0.3066976648292084,3874.0
