,precision,recall,f1-score,support
0,0.0,0.0,0.0,407.0
1,0.3881278538812785,0.32015065913371,0.3508771929824561,531.0
2,0.38250254323499494,0.8103448275862069,0.5196959225984796,1392.0
3,0.36363636363636365,0.1622119815668203,0.22434671765455708,1085.0
4,0.0,0.0,0.0,459.0
accuracy,0.38048528652555497,0.38048528652555497,0.38048528652555497,0.38048528652555497
macro avg,0.22685335215052743,0.25854149365734747,0.21898396664709857,3874.0
weighted avg,0.2924844824830993,0.38048528652555497,0.29766357831336143,3874.0
