,precision,recall,f1-score,support
0,0.0,0.0,0.0,378.0
1,0.3480392156862745,0.1337099811676083,0.19319727891156463,531.0
2,0.37899159663865545,0.6438258386866524,0.4771224543771489,1401.0
3,0.3150572831423895,0.3528872593950504,0.3329009943795936,1091.0
4,0.11764705882352941,0.012684989429175475,0.022900763358778626,473.0
accuracy,0.35209086215797625,0.35209086215797625,0.35209086215797625,0.35209086215797625
macro avg,0.23194703085816978,0.22862161373569728,0.20522429820541715,3874.0
weighted avg,0.2878550865131762,0.35209086215797625,0.29557649964410565,3874.0
