,precision,recall,f1-score,support
0,0.0,0.0,0.0,393.0
1,0.36033519553072624,0.2549407114624506,0.29861111111111116,506.0
2,0.38263888888888886,0.7979724837074583,0.5172494719549402,1381.0
3,0.3653543307086614,0.21014492753623187,0.2668200115008626,1104.0
4,0.0,0.0,0.0,490.0
accuracy,0.3776458440887971,0.3776458440887971,0.3776458440887971,0.3776458440887971
macro avg,0.22166568302565529,0.25261162454122815,0.2165361189133828,3874.0
weighted avg,0.28758520794952636,0.3776458440887971,0.2994290231515093,3874.0
