,precision,recall,f1-score,support
0,0.25,0.004750593824228029,0.009324009324009324,421.0
1,0.35784313725490197,0.13568773234200743,0.1967654986522911,538.0
2,0.36833916763905095,0.6892285298398836,0.48010139416983527,1374.0
3,0.3123236124176858,0.3161904761904762,0.3142451490771415,1050.0
4,0.10714285714285714,0.006109979633401222,0.011560693641618498,491.0
accuracy,0.35028394424367576,0.35028394424367576,0.35028394424367576,0.35028394424367576
macro avg,0.2791297548908992,0.23039346236599928,0.20239934897297918,3874.0
weighted avg,0.30573426950823596,0.35028394424367576,0.2852551029681796,3874.0
