,precision,recall,f1-score,support
0,0.18518518518518517,0.013054830287206266,0.024390243902439025,383.0
1,0.34080717488789236,0.1371841155234657,0.19562419562419564,554.0
2,0.354424967935015,0.6195814648729447,0.450911068806092,1338.0
3,0.3229166666666667,0.3653671804170444,0.3428328370905997,1103.0
4,0.10810810810810811,0.008064516129032258,0.0150093808630394,496.0
accuracy,0.3399586990191017,0.3399586990191017,0.3399586990191017,0.3399586990191017
macro avg,0.2622884205565735,0.22865042144593867,0.20575354525727313,3874.0
weighted avg,0.2952381034759482,0.3399586990191017,0.2856545044068118,3874.0
