,precision,recall,f1-score,support
0,0.1875,0.006944444444444444,0.013392857142857142,432.0
1,0.3141025641025641,0.09074074074074075,0.14080459770114942,540.0
2,0.36065573770491804,0.6341463414634146,0.45980707395498394,1353.0
3,0.2974438419829589,0.3650190114068441,0.32778489116517284,1052.0
4,0.1875,0.012072434607645875,0.022684310018903593,497.0
accuracy,0.33557046979865773,0.33557046979865773,0.33557046979865773,0.33557046979865773
macro avg,0.2694404287580882,0.221784594532618,0.19289474599661338,3874.0
weighted avg,0.2954778057553462,0.33557046979865773,0.2736300918148129,3874.0
