,precision,recall,f1-score,support
0,0.0,0.0,0.0,2008.0
1,0.43874643874643876,0.2864583333333333,0.34661264911096107,2688.0
2,0.37640097459101984,0.7884222805482648,0.509541535126985,6858.0
3,0.34585771481367417,0.20643382352941175,0.2585472545182456,5440.0
4,0.0,0.0,0.0,2376.0
accuracy,0.37687145069695405,0.37687145069695405,0.37687145069695405,0.37687145069695405
macro avg,0.23220102563022654,0.25626288748220194,0.22294028775123836,19370.0
weighted avg,0.29128416518750794,0.37687145069695405,0.3011165572168499,19370.0
