,precision,recall,f1-score,support
0,0.0,0.0,0.0,2008.0
1,0.41021505376344086,0.2838541666666667,0.3355321020228672,2688.0
2,0.3768378650553877,0.8184601924759405,0.516066749413874,6858.0
3,0.34380988884630126,0.16488970588235294,0.22288483041371596,5440.0
4,0.0,0.0,0.0,2376.0
accuracy,0.37547754259163657,0.37547754259163657,0.37547754259163657,0.37547754259163657
macro avg,0.22617256153302598,0.253440813004992,0.2148967363700914,19370.0
weighted avg,0.2869043850485213,0.37547754259163657,0.2918734917484992,19370.0
