,precision,recall,f1-score,support
0,0.42857142857142855,0.00149402390438247,0.002977667493796526,2008.0
1,0.41366223908918404,0.24330357142857142,0.30639494026704145,2688.0
2,0.37825253355245136,0.8056001166690973,0.5147942779926379,6857.0
3,0.35748031496062993,0.20863970588235295,0.2634939059779455,5440.0
4,0.0,0.0,0.0,2376.0
accuracy,0.37771697041664515,0.37771697041664515,0.37771697041664515,0.37771697041664515
macro avg,0.3155933032347388,0.2518074835768808,0.21753215834628428,19369.0
weighted avg,0.3361487977282328,0.37771697041664515,0.2990820366813409,19369.0
