,precision,recall,f1-score,support
0,0.02857142857142857,0.0007468259895444362,0.001455604075691412,1339.0
1,0.16625615763546797,0.07533482142857142,0.10368663594470046,1792.0
2,0.35025906735751294,0.6654998906147451,0.4589619794809897,4571.0
3,0.2781355412450169,0.2500689274882823,0.26335656213704994,3627.0
4,0.10833333333333334,0.008207070707070708,0.015258215962441318,1584.0
accuracy,0.31735460388755515,0.31735460388755515,0.31735460388755515,0.31735460388755515
macro avg,0.18631110562855194,0.1999715072456428,0.16854379952017456,12913.0
weighted avg,0.24143266338780836,0.31735460388755515,0.2528486005291911,12913.0
