,precision,recall,f1-score,support
0,0.08791208791208792,0.00398406374501992,0.007622677465459743,2008.0
1,0.3526315789473684,0.12462797619047619,0.18416712479384278,2688.0
2,0.368986568986569,0.6609798775153106,0.47359348064566686,6858.0
3,0.2920902981216612,0.3115808823529412,0.3015209463666281,5440.0
4,0.15352697095435686,0.015572390572390573,0.028276652655712647,2376.0
accuracy,0.34114610221992775,0.34114610221992775,0.34114610221992775,0.34114610221992775
macro avg,0.2510295009844087,0.2233490380752277,0.19903617638546203,19370.0
weighted avg,0.28955407081142376,0.34114610221992775,0.2821740285497628,19370.0
