,precision,recall,f1-score,support
0,0.11926605504587157,0.006474103585657371,0.012281530467642892,2008.0
1,0.3771377137713771,0.1558779761904762,0.22058436430639639,2688.0
2,0.3689839572192513,0.6539807524059492,0.471782464629464,6858.0
3,0.30643761929550584,0.3246323529411765,0.31527269481388914,5440.0
4,0.15086206896551724,0.014730639730639731,0.02684049079754601,2376.0
accuracy,0.34682498709344345,0.34682498709344345,0.34682498709344345,0.34682498709344345
macro avg,0.2645374828595046,0.23113916497077977,0.20935230900298768,19370.0
weighted avg,0.29990672775368193,0.34682498709344345,0.2907554307065571,19370.0
