,precision,recall,f1-score,support
0,0.07352941176470588,0.0037369207772795215,0.007112375533428165,1338.0
1,0.15212527964205816,0.03792526491912995,0.060714285714285714,1793.0
2,0.3586358635863586,0.641872675563334,0.46016311166875784,4571.0
3,0.2972636815920398,0.3296551724137931,0.31262262916939176,3625.0
4,0.15384615384615385,0.01893939393939394,0.03372681281618887,1584.0
accuracy,0.32778251103710015,0.32778251103710015,0.32778251103710015,0.32778251103710015
macro avg,0.20708007808626325,0.20642588552258614,0.17486784298041047,12911.0
weighted avg,0.25805442376702686,0.32778251103710015,0.26399682119334067,12911.0
